stamp,source,odom_x,odom_y,odom_yaw,cmd_v,cmd_w,pix_u,pix_v,pix_yaw
12.553,odom,0.5053610972693753,0.02539602435531044,0.0563205599201436,0.21995244396977362,-0.041585724666174946,,,
12.475,pixel,,,,,,613.3084716796875,589.0693359375,0.0
12.573,odom,0.5097532735597291,0.025641823786873647,0.055488845429725625,0.21995244396977362,-0.041585724666174946,,,
12.508,pixel,,,,,,614.1224365234375,588.4935913085938,0.0
12.593,odom,0.5141455526026029,0.025883912398226235,0.054614047657248366,0.2199430646081384,-0.045502386677901276,,,
12.541,pixel,,,,,,614.9279174804688,587.9664916992188,0.0
12.613,odom,0.5185379639501206,0.02612203397383056,0.053703999926606204,0.2199430646081384,-0.045502386677901276,,,
12.633,odom,0.5229305678699956,0.026356152088118923,0.0527850934554486,0.21993854465634896,-0.047274134786731564,,,
12.574,pixel,,,,,,615.732421875,587.3946533203125,0.0
12.653,odom,0.5273233211727416,0.026586157193198318,0.051839610762628746,0.21993854465634896,-0.047274134786731564,,,
12.673,odom,0.5317162899778778,0.026812008923869795,0.05089412806980959,0.21993854465634896,-0.047274134786731564,,,
12.607,pixel,,,,,,616.4718627929688,586.890380859375,0.0
12.693,odom,0.5361094162272754,0.027033674199704955,0.049927577712435875,0.21993425918743362,-0.0488947243703536,,,
12.64,pixel,,,,,,617.2434692382812,586.233154296875,0.0
12.713000000000001,odom,0.5405027267454241,0.02725105058602445,0.04894968322795362,0.21993425918743362,-0.0488947243703536,,,
12.733,odom,0.5448962314055917,0.027464129257396133,0.047966036293198316,0.2199178814822482,-0.054647174737031436,,,
12.753,odom,0.5492896446362525,0.02767261929438333,0.04687309280138055,0.2199178814822482,-0.054647174737031436,,,
12.673,pixel,,,,,,618.0139770507812,585.7357177734375,0.0
12.706,pixel,,,,,,618.88720703125,585.1806640625,0.0
12.773,odom,0.5536832831106764,0.027876307455406393,0.045780149309577356,0.21991783552598812,-0.05466246474030995,,,
12.793,odom,0.5580771412180925,0.028075193373156455,0.04468708349774715,0.21991783552598812,-0.05466246474030995,,,
12.739,pixel,,,,,,619.6151123046875,584.6572265625,0.0
12.813,odom,0.5624712135699029,0.028269275808154366,0.04359383420588993,0.21991783552598812,-0.05466246474030995,,,
12.772,pixel,,,,,,620.388427734375,584.07568359375,0.0
12.833,odom,0.5668654954762717,0.028458554311639385,0.04250058491403269,0.2199135145100941,-0.05608148518642113,,,
12.853,odom,0.5712599020086976,0.02864296893817089,0.04138037423372379,0.2199135145100941,-0.05608148518642113,,,
12.805,pixel,,,,,,621.1577758789062,583.4991455078125,0.0
12.873,odom,0.5756545082980306,0.028822454530117246,0.0402587445329457,0.21990541211968123,-0.05864985748276793,,,
