stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,efe_visibility,seed
449.329,-3.323351071914682,-2.59384108285891,0.9505297766578298,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.026532579755578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.329,-3.323351071914682,-2.59384108285891,0.9505297766578298,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.026532579755578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.329,-3.323351071914682,-2.59384108285891,0.9505297766578298,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.026532579755578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.329,-3.323351071914682,-2.59384108285891,0.9505297766578298,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.026532579755578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.362,-3.3199470436568577,-2.5934067022031635,0.9477206340483009,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.023633653353588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.362,-3.3199470436568577,-2.5934067022031635,0.9477206340483009,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.023633653353588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.362,-3.3199470436568577,-2.5934067022031635,0.9477206340483009,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.023633653353588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.362,-3.3199470436568577,-2.5934067022031635,0.9477206340483009,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.023633653353588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.395,-3.311434299335772,-2.5872040461589143,0.9553907756146188,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.013121115828021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.395,-3.311434299335772,-2.5872040461589143,0.9553907756146188,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.013121115828021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.395,-3.311434299335772,-2.5872040461589143,0.9553907756146188,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.013121115828021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.395,-3.311434299335772,-2.5872040461589143,0.9553907756146188,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.013121115828021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.461,-3.301824613712532,-2.587468522880466,0.9544953293859774,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.005891090311595,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.56,-3.248646799192367,-2.5187536221371256,0.9922092158624838,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,9.921111086771818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.56,-3.248646799192367,-2.5187536221371256,0.9922092158624838,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,9.921111086771818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.56,-3.248646799192367,-2.5187536221371256,0.9922092158624838,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,9.921111086771818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449.56,-3.248646799192367,-2.5187536221371256,0.9922092158624838,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,9.921111086771818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
