stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
12.561,1.137247041876148,1.135227604052946,0.789504498508047,0.0,0.0,1e-12,0.2199998280109141,-0.0025008297407551616,3.0,3.0,2.635758841716229,50,3.3769442294902627,0
12.673,1.152741354746476,1.150845718291725,0.7892516549685837,0.0,0.0,1e-12,0.21999984461117916,-0.0023770787201005117,3.0,3.0,2.6137589904243144,50,3.3769442294902627,0
12.764,1.1682394865710575,1.1664600462825014,0.7890165662169311,0.0,0.0,1e-12,0.21999986644185907,-0.0022037831477375036,3.0,3.0,2.591759120835852,50,3.3769442294902627,0
12.871,1.1837411841221945,1.182070836603022,0.7887945670709584,0.0,0.0,1e-12,0.21999987610230462,-0.002122585961546797,3.0,3.0,2.5697592356839745,50,3.3769442294902627,0
12.992,1.2023476412400977,1.2007993977103997,0.7885458980150852,0.0,0.0,1e-12,0.21999989636431921,-0.0019412806355678658,3.0,3.0,2.5433593553083096,50,3.3769442294902627,0
13.06,1.2147544582429666,1.2132826103174326,0.7883899844433983,0.0,0.0,1e-12,0.21999990395650373,-0.001868820758511136,3.0,3.0,2.525759425392183,50,3.3769442294902627,0
13.168,1.230265631982779,1.228883991161323,0.788207412820179,0.0,0.0,1e-12,0.21999991952837045,-0.0017106259827757153,3.0,3.0,2.503759503248257,50,3.3769442294902627,0
13.26,1.2457795648061605,1.2444826299361857,0.7880360574496402,0.0,0.0,1e-12,0.21999992893843198,-0.0016075002823805473,3.0,3.0,2.481759571724754,50,3.3769442294902627,0
13.388,1.2643996947181184,1.2631976054900373,0.7878432936695317,0.0,0.0,1e-12,0.2199999389278187,-0.0014902371273965986,3.0,3.0,2.455359643162301,50,3.3769442294902627,0
13.487,1.2799191476625555,1.2787907546789867,0.7876918288092133,0.0,0.0,1e-12,0.21999994495976072,-0.001414730833224409,3.0,3.0,2.4333596948984835,50,3.3769442294902627,0
13.597,1.295440881013137,1.2943816351610624,0.787551418743929,0.0,0.0,1e-12,0.2199999527705082,-0.0013105098726713393,3.0,3.0,2.411359740187499,45,3.023465114944376,0
13.69,1.3109647263738848,1.3099704137062742,0.7874203559596994,0.0,0.0,1e-12,0.21999995825690874,-0.0012320432781385282,3.0,3.0,2.3893597799622786,45,3.023465114944376,0
13.78,1.3264905592243228,1.32555721353865,0.787296880600423,0.0,0.0,1e-12,0.21999996228314858,-0.0011711199376069903,3.0,3.0,2.367359814962181,45,3.023465114944376,0
13.882,1.3420182495771928,1.3411421635873984,0.7871805702149831,0.0,0.0,1e-12,0.2199999666284412,-0.0011015948705284107,3.0,3.0,2.345359845772621,45,3.023465114944376,0
13.992,1.3575477044778737,1.3567253559995418,0.7870714364619595,0.0,0.0,1e-12,0.21999997135573138,-0.001020592862600589,3.0,3.0,2.3233598728308826,45,3.023465114944376,0
14.086,1.3730788114057437,1.3723069024221601,0.7869685403297472,0.0,0.0,1e-12,0.2199999734697818,-0.0009822093598050863,3.0,3.0,2.30135989662623,45,3.023465114944376,0
14.184,1.3886114643954546,1.387886908200238,0.7868729510956446,0.0,0.0,1e-12,0.21999997660601003,-0.0009223288783726247,3.0,3.0,2.279359917483404,45,3.023465114944376,0
